Name                                              	ID                  	Nametype                 	Recclass                 	Mass                	Fall                	Year                	Reclat              	Reclong             	Geolocation                   	State               	Countries                     
Pinnaroo                                          	18827               	Valid                    	Mesosiderite-A4          	39400.0             	Found               	1927                	-35.38333           	140.91667           	"(-35.38333, 140.91667)"      	                    	                              
Plains                                            	18839               	Valid                    	H5                       	34300.0             	Found               	1964                	33.28333            	-102.76667          	"(33.28333, -102.76667)"      	23                  	2966                          
Plainview (1917)                                  	18841               	Valid                    	H5                       	700000.0            	Found               	1917                	34.11667            	-101.78333          	"(34.11667, -101.78333)"      	23                  	751                           
Point Berliet                                     	18854               	Valid                    	H5                       	42000.0             	Found               	2001                	20.537              	9.53783             	"(20.537, 9.53783)"           	                    	                              
Porto Alegre                                      	52091               	Valid                    	"Iron, IIIE"             	200000.0            	Found               	2005                	-30.03306           	-51.23              	"(-30.03306, -51.23)"         	                    	                              
Potter                                            	18878               	Valid                    	L6                       	261000.0            	Found               	1941                	41.23333            	-103.3              	"(41.23333, -103.3)"          	19                  	2242                          
Prambanan                                         	18884               	Valid                    	"Iron, ungrouped"        	500000.0            	Found               	1797                	-7.56667            	110.83333           	"(-7.56667, 110.83333)"       	                    	                              
Puente del Zacate                                 	18894               	Valid                    	"Iron, IIIAB"            	30790.0             	Found               	1904                	27.86667            	-101.5              	"(27.86667, -101.5)"          	                    	                              
Putnam County                                     	18906               	Valid                    	"Iron, IVA"              	32700.0             	Found               	1839                	33.25               	-83.25              	"(33.25, -83.25)"             	31                  	1412                          
Qijiaojing                                        	54610               	Valid                    	"Iron, ungrouped"        	160000.0            	Found               	2003                	43.75               	92.91667            	"(43.75, 92.91667)"           	                    	                              
Quijingue                                         	22362               	Valid                    	"Pallasite, PMG"         	59000.0             	Found               	1984                	-10.75              	-39.21667           	"(-10.75, -39.21667)"         	                    	                              
Quinn Canyon                                      	22364               	Valid                    	"Iron, IIIAB"            	1450000.0           	Found               	1908                	38.08333            	-115.53333          	"(38.08333, -115.53333)"      	10                  	2401                          
Rancho de la Pila (1882)                          	22389               	Valid                    	"Iron, IIIAB"            	46500.0             	Found               	1882                	24.11667            	-104.3              	"(24.11667, -104.3)"          	                    	                              
Rateldraai                                        	22397               	Valid                    	"Iron, IIIAB"            	549000.0            	Found               	1909                	-28.83333           	21.13333            	"(-28.83333, 21.13333)"       	                    	                              
Red River                                         	22548               	Valid                    	"Iron, IIIAB"            	800000.0            	Found               	1808                	32                  	-95                 	"(32.0, -95.0)"               	23                  	3107                          
Red Rock                                          	22549               	Valid                    	"Iron, IIIAB"            	47600.0             	Found               	1976                	35.41667            	-117.91667          	"(35.41667, -117.91667)"      	8                   	1192                          
Renfrow                                           	22588               	Valid                    	L6                       	81600.0             	Found               	1986                	36.98667            	-97.555             	"(36.98667, -97.555)"         	20                  	609                           
Retuerta del Bullaque                             	56577               	Valid                    	"Iron, IAB-MG"           	100000.0            	Found               	1980                	39.45889            	-4.3775             	"(39.45889, -4.3775)"         	                    	                              
Richfield                                         	22600               	Valid                    	LL3.7                    	40800.0             	Found               	1983                	37.22222            	-101.68139          	"(37.22222, -101.68139)"      	17                  	1249                          
Richland                                          	22601               	Valid                    	"Iron, IIAB"             	50600.0             	Found               	1951                	31.9                	-96.4               	"(31.9, -96.4)"               	23                  	2827                          
Rifle                                             	22605               	Valid                    	"Iron, IAB-MG"           	102700.0            	Found               	1948                	38.51667            	-107.83333          	"(38.51667, -107.83333)"      	9                   	32                            
Rio Limay                                         	22609               	Valid                    	L5                       	280000.0            	Found               	1995                	-39.85              	-69.48333           	"(-39.85, -69.48333)"         	                    	                              
Rodeo                                             	22643               	Valid                    	"Iron, IID"              	44000.0             	Found               	1852                	25.33333            	-104.66667          	"(25.33333, -104.66667)"      	                    	                              
Roebourne                                         	22644               	Valid                    	"Iron, IIIAB"            	86860.0             	Found               	1892                	-22.33333           	118                 	"(-22.33333, 118.0)"          	                    	                              
Rosebud                                           	22767               	Valid                    	H5                       	54900.0             	Found               	1915                	30.81667            	-97.05              	"(30.81667, -97.05)"          	23                  	2821                          
Rowena                                            	22772               	Valid                    	H6                       	34700.0             	Found               	1962                	-29.8               	148.63333           	"(-29.8, 148.63333)"          	                    	                              
Roy (1933)                                        	22774               	Valid                    	L5                       	47200.0             	Found               	1933                	35.95               	-104.2              	"(35.95, -104.2)"             	11                  	2726                          
Ruff's Mountain                                   	22779               	Valid                    	"Iron, IIIAB"            	53070.0             	Found               	1844                	34.3                	-81.4               	"(34.3, -81.4)"               	33                  	2577                          
Sacramento Mountains                              	22794               	Valid                    	"Iron, IIIAB"            	237200.0            	Found               	1890                	32.91667            	-104.66667          	"(32.91667, -104.66667)"      	11                  	611                           
Saginaw                                           	22797               	Valid                    	Iron                     	44500.0             	Found               	1979                	32.86583            	-97.32306           	"(32.86583, -97.32306)"       	23                  	2919                          
Sahara 02500                                      	22809               	Valid                    	L3                       	410850.0            	Found               	2001                	                    	                    	                              	                    	                              
Saint-Aubin                                       	23096               	Valid                    	"Iron, IIIAB"            	472000.0            	Found               	1968                	48.48333            	3.58333             	"(48.48333, 3.58333)"         	                    	                              
Saline                                            	23109               	Valid                    	H5                       	30800.0             	Found               	1901                	39.4                	-100.4              	"(39.4, -100.4)"              	17                  	1293                          
San Angelo                                        	23117               	Valid                    	"Iron, IIIAB"            	88000.0             	Found               	1897                	31.41667            	-100.35             	"(31.41667, -100.35)"         	23                  	2923                          
San Emigdio                                       	23122               	Valid                    	H4                       	36000.0             	Found               	1887                	36                  	-119                	"(36.0, -119.0)"              	8                   	81                            
Sanclerlandia                                     	23132               	Valid                    	"Iron, IIIAB"            	279000.0            	Found               	1971                	-16.21667           	-50.3               	"(-16.21667, -50.3)"          	                    	                              
Sandia Mountains                                  	23156               	Valid                    	"Iron, IIAB"             	45000.0             	Found               	1925                	35.25               	-106.5              	"(35.25, -106.5)"             	11                  	1988                          
Santa Apolonia                                    	23160               	Valid                    	"Iron, IIIAB"            	1316000.0           	Found               	1872                	19.21667            	-98.3               	"(19.21667, -98.3)"           	                    	                              
Santa Catharina                                   	23162               	Valid                    	"Iron, IAB-ung"          	7000000.0           	Found               	1875                	-26.21667           	-48.6               	"(-26.21667, -48.6)"          	                    	                              
Santa Clara                                       	23163               	Valid                    	"Iron, IVB"              	63000.0             	Found               	1976                	24.46667            	-103.35             	"(24.46667, -103.35)"         	                    	                              
Santa Luzia                                       	23166               	Valid                    	"Iron, IIAB"             	1918000.0           	Found               	1921                	-16.26667           	-47.95              	"(-16.26667, -47.95)"         	                    	                              
Santa Rosa                                        	23167               	Valid                    	"Iron, IC"               	825000.0            	Found               	1810                	5.91667             	-73                 	"(5.91667, -73.0)"            	                    	                              
Santa Vitoria do Palmar                           	35478               	Valid                    	L3                       	50400.0             	Found               	2003                	-33.50944           	-53.41083           	"(-33.50944, -53.41083)"      	                    	                              
Santiago Papasquiero                              	23169               	Valid                    	"Iron, ungrouped"        	119500.0            	Found               	1958                	24.5                	-106                	"(24.5, -106.0)"              	                    	                              
S�o Juli�o de Moreira                         	23172               	Valid                    	"Iron, IIAB"             	162000.0            	Found               	1883                	41.76611            	-8.58361            	"(41.76611, -8.58361)"        	                    	                              
Sardis                                            	23177               	Valid                    	"Iron, IAB complex"      	800000.0            	Found               	1940                	32.94889            	-81.865             	"(32.94889, -81.865)"         	31                  	1420                          
Savannah                                          	23189               	Valid                    	"Iron, IIIAB"            	60000.0             	Found               	1923                	35.16667            	-88.18333           	"(35.16667, -88.18333)"       	39                  	2051                          
Sayh al Uhaymir 001                               	23193               	Valid                    	L5                       	450000.0            	Found               	2000                	20.51667            	56.66667            	"(20.51667, 56.66667)"        	                    	                              
Sayh al Uhaymir 270                               	23443               	Valid                    	H4-6                     	43508.2             	Found               	2003                	20.72918            	57.189              	"(20.72918, 57.189)"          	                    	                              
Scurry                                            	23468               	Valid                    	H5                       	118000.0            	Found               	1937                	32.5                	-101                	"(32.5, -101.0)"              	23                  	779                           
Seel�sgen                                       	23474               	Valid                    	"Iron, IAB-MG"           	102000.0            	Found               	1847                	52.26667            	15.55               	"(52.26667, 15.55)"           	                    	                              
Selma                                             	23486               	Valid                    	H4                       	140600.0            	Found               	1906                	32.4                	-87                 	"(32.4, -87.0)"               	29                  	1542                          
Seminole                                          	23488               	Valid                    	H4                       	43900.0             	Found               	1961                	32.68333            	-102.61667          	"(32.68333, -102.61667)"      	23                  	3192                          
Seymchan                                          	23510               	Valid                    	"Pallasite, PMG"         	323300.0            	Found               	1967                	62.9                	152.43333           	"(62.9, 152.43333)"           	                    	                              
Shangdu                                           	23523               	Valid                    	"Iron, IIIAB"            	247000.0            	Found               	1957                	42.5                	114                 	"(42.5, 114.0)"               	                    	                              
Shingle Springs                                   	23535               	Valid                    	"Iron, ungrouped"        	39000.0             	Found               	1869                	38.66667            	-120.93333          	"(38.66667, -120.93333)"      	8                   	1187                          
Sierra Colorada                                   	23588               	Valid                    	L5                       	71300.0             	Found               	1995                	-40.8               	-67.48333           	"(-40.8, -67.48333)"          	                    	                              
Signal Mountain                                   	23592               	Valid                    	"Iron, IVA"              	63500.0             	Found               	1919                	32.5                	-115.5              	"(32.5, -115.5)"              	                    	                              
Smithonia                                         	23651               	Valid                    	"Iron, IIAB"             	69900.0             	Found               	1940                	34                  	-83.16667           	"(34.0, -83.16667)"           	31                  	1515                          
Smithville                                        	23654               	Valid                    	"Iron, IAB-MG"           	70500.0             	Found               	1840                	35.98333            	-85.85              	"(35.98333, -85.85)"          	39                  	2006                          
Social Circle                                     	23659               	Valid                    	"Iron, IVA"              	99300.0             	Found               	1927                	33.7                	-83.7               	"(33.7, -83.7)"               	31                  	1614                          
Soledade                                          	23662               	Valid                    	"Iron, IAB-MG"           	68000.0             	Found               	1986                	-29.05              	-51.43333           	"(-29.05, -51.43333)"         	                    	                              
South African Railways                            	23674               	Valid                    	"Iron, IVA"              	47000.0             	Found               	1938                	                    	                    	                              	                    	                              
South Dahna                                       	23677               	Valid                    	"Iron, IAB complex"      	275000.0            	Found               	1957                	22.56667            	48.3                	"(22.56667, 48.3)"            	                    	                              
Springwater                                       	23692               	Valid                    	"Pallasite, PMG-an"      	67600.0             	Found               	1931                	52                  	-108.3              	"(52.0, -108.3)"              	                    	                              
